Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
45628493,MCCALL SUB,13,D,BRKR,,,,,left_only
44294388,MANCHESTER SUB,23,D,BRKR,,,,,left_only
42714910,EAST GRAND SUB,23,D,BRKR,,,,,left_only
43222589,BRUNSWICK SUB,23,D,BRKR,,,,,left_only
44160981,SANTA MARIA SUB,23,D,BRKR,,,,,left_only
43683774,ALPAUGH SUB,23,D,BRKR,,,,,left_only
45756062,ROSSMOOR SUB,13,D,BRKR,,,,,left_only
44156089,JOLON SUB,23,D,BRKR,,,,,left_only
45170528,VALLEY SPRINGS SUB,23,D,BRKR,,,,,left_only
45170526,VALLEY SPRINGS SUB,23,D,BRKR,,,,,left_only
45612077,ROSSMOOR SUB,13,D,BRKR,,,,,left_only
45707352,OAKLAND J SUB,13,D,BRKR,,,,,left_only
44294384,MANCHESTER SUB,23,D,BRKR,,,,,left_only
44197873,CORDELIA SUB,23,D,BRKR,,,,,left_only
42706745,TULARE LAKE SUB,23,D,BRKR,,,,,left_only
45297040,MILPITAS SUB,22,D,BRKR,,,,,left_only
45618745,CAPAY SUB,12,D,BRKR,,,,,left_only
45464214,SYCAMORE CREEK SUB,22,D,BRKR,,,,,left_only
45021246,PARADISE SUB,12,D,BRKR,,,,,left_only
45397625,PLACER SUB,22,D,BRKR,,,,,left_only
43226525,CORCORAN SUB,22,D,BRKR,,,,,left_only
43226524,CORCORAN SUB,22,D,BRKR,,,,,left_only
45397623,PLACER SUB,22,D,BRKR,,,,,left_only
43226544,CORCORAN SUB,22,D,BRKR,,,,,left_only
42709198,SCHINDLER SUB,22,D,BRKR,,,,,left_only
43705223,LAWRENCE SUB,22,D,BRKR,,,,,left_only
42709194,SCHINDLER SUB,22,D,BRKR,,,,,left_only
43591391,REDWOOD CITY SUB,22,D,BRKR,,,,,left_only
42709196,SCHINDLER SUB,22,D,BRKR,,,,,left_only
44294389,MANCHESTER SUB,22,D,BRKR,,,,,left_only
45427193,FMC SUB,12,D,BRKR,,,,,left_only
44223715,DOLAN RD SUB,22,D,BRKR,,,,,left_only
44170296,CORDELIA SUB,22,D,BRKR,,,,,left_only
45324531,BRITTON SUB,22,D,BRKR,,,,,left_only
45477023,LAURELES SUB,12,D,BRKR,,,,,left_only
44156088,JOLON SUB,22,D,BRKR,,,,,left_only
42706748,TULARE LAKE SUB,22,D,BRKR,,,,,left_only
45220145,ALPAUGH SUB,22,D,BRKR,,,,,left_only
44680010,INDIAN FLAT SUB,22,D,BRKR,,,,,left_only
45610620,RALSTON SUB,12,D,BRKR,,,,,left_only
43183755,GATES SUB,22,D,BRKR,,,,,left_only
44197871,CORDELIA SUB,22,D,BRKR,,,,,left_only
44676304,JANES CREEK SUB,22,D,BRKR,,,,,left_only
45235447,ELK SUB,12,D,BRKR,,,,,left_only
42691680,MOUNTAIN VIEW SUB,22,D,BRKR,,,,,left_only
45141854,MADISON SUB,22,D,BRKR,,,,,left_only
44170294,EAST MARYSVILLE SUB,22,D,BRKR,,,,,left_only
44162711,WEEDPATCH SUB,22,D,BRKR,,,,,left_only
45547891,FRUITLAND SUB,22,D,BRKR,,,,,left_only
43207716,WRIGHT SUB,22,D,BRKR,,,,,left_only
44162064,TAMARACK SUB,22,D,BRKR,,,,,left_only
43683795,ALPAUGH SUB,22,D,BRKR,,,,,left_only
45298579,EAST GRAND SUB,22,D,BRKR,,,,,left_only
43232107,HAMMONDS SUB,22,D,BRKR,,,,,left_only
45547889,FRUITLAND SUB,22,D,BRKR,,,,,left_only
43683786,ALPAUGH SUB,22,D,BRKR,,,,,left_only
44162066,TAMARACK SUB,22,D,BRKR,,,,,left_only
40991420,DIXON LANDING SUB,33,D,BRKR,,,,,left_only
40991419,DIXON LANDING SUB,33,D,BRKR,,,,,left_only
40991418,DIXON LANDING SUB,33,D,BRKR,,,,,left_only
40991104,OAKLAND C (OAKLAND PP) SUB,53,D,BRKR,,,,,left_only
40991105,OAKLAND C (OAKLAND PP) SUB,52,D,BRKR,,,,,left_only
41084490,BIG BASIN SUB,32,D,BRKR,,,,,left_only
41084499,BIG BASIN SUB,32,D,BRKR,,,,,left_only
41333996,COARSEGOLD SUB,33,D,BRKR,,,,,left_only
41361600,COARSEGOLD SUB,33,D,BRKR,,,,,left_only
40991299,HORSESHOE SUB,32,D,BRKR,,,,,left_only
40991645,CURTIS SUB,33,D,BRKR,,,,,left_only
40991634,CURTIS SUB,33,D,BRKR,,,,,left_only
40991644,CURTIS SUB,33,D,BRKR,,,,,left_only
45562755,GREEN VALLEY SUB,23,D,BRKR,,,,,left_only
45469808,VIEJO SUB,23,D,BRKR,,,,,left_only
45487356,SARATOGA SUB,23,D,BRKR,,,,,left_only
45619979,STOCKDALE SUB,23,D,BRKR,,,,,left_only
45064014,COTTONWOOD SUB,23,D,BRKR,,,,,left_only
45689359,KERN PP DIST SUB,23,D,BRKR,,,,,left_only
45155550,BRENTWOOD SUB,23,D,BRKR,,,,,left_only
45064043,SOLEDAD SUB,23,D,BRKR,,,,,left_only
45090443,SANTA TERESA SUB,23,D,BRKR,,,,,left_only
45636656,ALHAMBRA SUB,23,D,BRKR,,,,,left_only
45064012,COTTONWOOD SUB,23,D,BRKR,,,,,left_only
45183691,ROSSMOOR SUB,23,D,BRKR,,,,,left_only
45427208,SARATOGA SUB,23,D,BRKR,,,,,left_only
45168208,WHISMAN SUB,23,D,BRKR,,,,,left_only
45759041,ZAMORA SUB,23,D,BRKR,,,,,left_only
45759039,ZAMORA SUB,23,D,BRKR,,,,,left_only
45090440,SANTA TERESA SUB,23,D,BRKR,,,,,left_only
44974188,RESERVATION ROAD,23,D,BRKR,,,,,left_only
43702081,MADERA SUB,23,D,BRKR,,,,,left_only
45427116,MALAGA SUB,23,D,BRKR,,,,,left_only
45064048,SOLEDAD SUB,23,D,BRKR,,,,,left_only
45308311,TYLER SUB,23,D,BRKR,,,,,left_only
45592501,HOOPA SUB,23,D,BRKR,,,,,left_only
45673866,BIG LAGOON SUB,23,D,BRKR,,,,,left_only
45238843,STELLING SUB,23,D,BRKR,,,,,left_only
42742960,MORRO BAY DIST SUB,23,D,BRKR,,,,,left_only
41340859,CAMP EVERS SUB,33,D,BRKR,,,,,left_only
42626127,MORAGA SUB,23,D,BRKR,,,,,left_only
45267809,TIVY VALLEY SUB,23,D,BRKR,,,,,left_only
41201470,LINCOLN SUB,33,D,BRKR,,,,,left_only
41201464,LINCOLN SUB,33,D,BRKR,,,,,left_only
